year_ceremony,Category,name,film
1997,Best Actor in supporting role,Cuba Gooding Jr.,Jerry Maguire
1997,Best Actress,Frances McDormand,Fargo
1997,ACTRESS IN A SUPPORTING ROLE,Juliette Binoche,The English Patient
1998,Best Actor,Jack Nicholson,As Good as It Gets
1998,Best Actor in supporting role,Robin Williams,Good Will Hunting
1998,Best Actress,Helen Hunt,As Good as It Gets
1998,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,L.A. Confidential
1999,Best Actor,Roberto Benigni,Life Is Beautiful
1999,Best Actor in supporting role,James Coburn,Affliction
1999,Best Actress,Gwyneth Paltrow,Shakespeare in Love
1999,ACTRESS IN A SUPPORTING ROLE,Judi Dench,Shakespeare in Love
2000,Best Actor,Kevin Spacey,American Beauty
2000,Best Actor in supporting role,Michael Caine,The Cider House Rules
2000,Best Actress,Hilary Swank,Boys Don't Cry
2000,ACTRESS IN A SUPPORTING ROLE,Angelina Jolie,"Girl, Interrupted"
2001,Best Actor,Russell Crowe,Gladiator
2001,Best Actor in supporting role,Benicio Del Toro,Traffic
2001,Best Actress,Julia Roberts,Erin Brockovich
2001,ACTRESS IN A SUPPORTING ROLE,Marcia Gay Harden,Pollock
2002,Best Actor,Denzel Washington,Training Day
2002,Best Actor in supporting role,Jim Broadbent,Iris
2002,Best Actress,Halle Berry,Monster's Ball
2002,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,A Beautiful Mind
2003,Best Actor,Adrien Brody,The Pianist
2003,Best Actor in supporting role,Chris Cooper,Adaptation
2003,Best Actress,Nicole Kidman,The Hours
2003,ACTRESS IN A SUPPORTING ROLE,Catherine Zeta-Jones,Chicago
2004,Best Actor,Sean Penn,Mystic River
2004,Best Actor in supporting role,Tim Robbins,Mystic River
2004,Best Actress,Charlize Theron,Monster
2004,ACTRESS IN A SUPPORTING ROLE,Renée Zellweger,Cold Mountain
2005,Best Actor,Jamie Foxx,Ray
2005,Best Actor in supporting role,Morgan Freeman,Million Dollar Baby
2005,Best Actress,Hilary Swank,Million Dollar Baby
2005,ACTRESS IN A SUPPORTING ROLE,Cate Blanchett,The Aviator
2006,Best Actor,Philip Seymour Hoffman,Capote
2006,Best Actor in supporting role,George Clooney,Syriana
2006,Best Actress,Reese Witherspoon,Walk the Line
2006,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,The Constant Gardener
2007,Best Actor,Forest Whitaker,The Last King of Scotland
2007,Best Actor in supporting role,Alan Arkin,Little Miss Sunshine
2007,Best Actress,Helen Mirren,The Queen
2007,ACTRESS IN A SUPPORTING ROLE,Jennifer Hudson,Dreamgirls
2008,Best Actor,Daniel Day-Lewis,There Will Be Blood
2008,Best Actor in supporting role,Javier Bardem,No Country for Old Men
2008,Best Actress,Marion Cotillard,La Vie en Rose
2008,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton,Michael Clayton
2009,Best Actor,Sean Penn,Milk
2009,Best Actor in supporting role,Heath Ledger,The Dark Knight
2009,Best Actress,Kate Winslet,The Reader
2009,ACTRESS IN A SUPPORTING ROLE,Penélope Cruz,Vicky Cristina Barcelona
2010,Best Actor,Jeff Bridges,Crazy Heart
2010,Best Actor in supporting role,Christoph Waltz,Inglourious Basterds
2010,Best Actress,Sandra Bullock,The Blind Side
2010,ACTRESS IN A SUPPORTING ROLE,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire
2011,Best Actor,Colin Firth,The King's Speech
2011,Best Actor in supporting role,Christian Bale,The Fighter
2011,Best Actress,Natalie Portman,Black Swan
2011,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,The Fighter
2012,Best Actor,Jean Dujardin,The Artist
2012,Best Actor in supporting role,Christopher Plummer,Beginners
2012,Best Actress,Meryl Streep,The Iron Lady
2012,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help
2013,Best Actor,Daniel Day-Lewis,Lincoln
2013,Best Actor in supporting role,Christoph Waltz,Django Unchained
2013,Best Actress,Jennifer Lawrence,Silver Linings Playbook
2013,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,Les Misérables
2014,Best Actor,Matthew McConaughey,Dallas Buyers Club
2014,Best Actor in supporting role,Jared Leto,Dallas Buyers Club
2014,Best Actress,Cate Blanchett,Blue Jasmine
2014,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,12 Years a Slave
2015,Best Actor,Eddie Redmayne,The Theory of Everything
2015,Best Actor in supporting role,J.K. Simmons,Whiplash
2015,Best Actress,Julianne Moore,Still Alice
2015,ACTRESS IN A SUPPORTING ROLE,Patricia Arquette,Boyhood
2016,Best Actor,Leonardo DiCaprio,The Revenant
2016,Best Actor in supporting role,Mark Rylance,Bridge of Spies
2016,Best Actress,Brie Larson,Room
2016,ACTRESS IN A SUPPORTING ROLE,Alicia Vikander,The Danish Girl
2017,Best Actor,Casey Affleck,Manchester by the Sea
2017,Best Actor in supporting role,Mahershala Ali,Moonlight
2017,Best Actress,Emma Stone,La La Land
2017,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Fences
2018,Best Actor,Gary Oldman,Darkest Hour
2018,Best Actor in supporting role,Sam Rockwell,"Three Billboards outside Ebbing, Missouri"
2018,Best Actress,Frances McDormand,"Three Billboards outside Ebbing, Missouri"
2018,ACTRESS IN A SUPPORTING ROLE,Allison Janney,"I, Tonya"
2019,Best Actor,Rami Malek,Bohemian Rhapsody
2019,Best Actor in supporting role,Mahershala Ali,Green Book
2019,Best Actress,Olivia Colman,The Favourite
2019,ACTRESS IN A SUPPORTING ROLE,Regina King,If Beale Street Could Talk
2020,Best Actor,Joaquin Phoenix,Joker
2020,Best Actor in supporting role,Brad Pitt,Once upon a Time...in Hollywood
2020,Best Actress,Renée Zellweger,Judy
2020,ACTRESS IN A SUPPORTING ROLE,Laura Dern,Marriage Story
1928,PRODUCTION DESIGN,William Cameron Menzies,The Dove;
1928,CINEMATOGRAPHY,Charles Rosher,Sunrise
1928,CINEMATOGRAPHY,Karl Struss,Sunrise
1928,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights
1928,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven
1928,ENGINEERING EFFECTS,Roy Pomeroy,Wings
1928,BEST PICTURE,Paramount Famous Lasky,Wings
1928,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise
1928,WRITING (Adapted Screenplay),Benjamin Glazer,7th Heaven
1928,WRITING (Original Story),Ben Hecht,Underworld
1928,WRITING (Title Writing),Joseph Farnham,
1928,SPECIAL AWARD, Warner Bros.,
1928,SPECIAL AWARD, Charles Chaplin,
1929,PRODUCTION DESIGN,Cedric Gibbons,The Bridge of San Luis Rey
1929,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas
1929,DIRECTING,Frank Lloyd,The Divine Lady
1929,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody
1929,WRITING (Adapted Screenplay),Hans Kraly,The Patriot
1930,PRODUCTION DESIGN,Herman Rosse,King of Jazz
1930,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole
1930,DIRECTING,Lewis Milestone,All Quiet on the Western Front
1930,BEST PICTURE,Universal,All Quiet on the Western Front
1930,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House
1930,WRITING (Adapted Screenplay),Frances Marion,The Big House
1931,PRODUCTION DESIGN,Max Rée,Cimarron
1931,CINEMATOGRAPHY,Floyd Crosby,Tabu
1931,DIRECTING,Norman Taurog,Skippy
1931,BEST PICTURE,RKO Radio,Cimarron
1931,SOUND RECORDING,Paramount Publix Studio Sound Department,
1931,WRITING (Adapted Screenplay),Howard Estabrook,Cimarron
1931,WRITING (Original Story),John Monk Saunders,The Dawn Patrol
1932,PRODUCTION DESIGN,Gordon Wiles,Transatlantic
1932,CINEMATOGRAPHY,Lee Garmes,Shanghai Express
1932,DIRECTING,Frank Borzage,Bad Girl
1932,BEST PICTURE,Metro-Goldwyn-Mayer,Grand Hotel
1932,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees
1932,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box
1932,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish
1932,SOUND RECORDING,Paramount Publix Studio Sound Department,
1932,WRITING (Adapted Screenplay),Edwin Burke,Bad Girl
1932,WRITING (Original Story),Frances Marion,The Champ
1932,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",
1933,PRODUCTION DESIGN,William S. Darling,Cavalcade
1933,ASSISTANT DIRECTOR,William Tummel (Fox),
1933,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),
1933,ASSISTANT DIRECTOR,Charles Barton (Paramount),
1933,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),
1933,ASSISTANT DIRECTOR,Fred Fox (United Artists),
1933,ASSISTANT DIRECTOR,Scott Beal (Universal),
1933,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),
1933,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms
1933,DIRECTING,Frank Lloyd,Cavalcade
1933,BEST PICTURE,Fox,Cavalcade
1933,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs
1933,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris
1933,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa
1933,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms
1933,WRITING (Adapted Screenplay),"Victor Heerman, Sarah Y. Mason",Little Women
1933,WRITING (Original Story),Robert Lord,One Way Passage
1935,PRODUCTION DESIGN,"Cedric Gibbons, Fredric Hope",The Merry Widow
1935,ASSISTANT DIRECTOR,John Waters,Viva Villa!
1935,CINEMATOGRAPHY,Victor Milner,Cleopatra
1935,DIRECTING,Frank Capra,It Happened One Night
1935,FILM EDITING,Conrad Nervig,Eskimo
1935,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love
1935,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee
1935,BEST PICTURE,Columbia,It Happened One Night
1935,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare
